playerID,awardID,yearID,lgID,tie,notes
mccarjo99,TSN Manager of the Year,1943,ML,,
hydebr99,TSN Manager of the Year,2022,AL,,
hydebr99,TSN Manager of the Year,2023,AL,,
snitkbr99,TSN Manager of the Year,2018,NL,Y,
snitkbr99,TSN Manager of the Year,2019,NL,,
snitkbr99,TSN Manager of the Year,2023,NL,Y,
showabu99,This Year in Baseball Manager of the Year,2012,ML,,MLB.com GIBBY
showabu99,TSN Manager of the Year,1994,AL,,
showabu99,TSN Manager of the Year,2004,AL,Y,
showabu99,TSN Manager of the Year,2012,AL,,
showabu99,TSN Manager of the Year,2022,NL,,
ozarkda99,TSN Manager of the Year,1976,ML,,
weaveea99,TSN Manager of the Year,1977,ML,,
weaveea99,TSN Manager of the Year,1979,ML,,
gonzafr99,TSN Manager of the Year,2008,NL,,
freyji99,TSN Manager of the Year,1984,ML,,
leylaji99,This Year in Baseball Manager of the Year,2006,ML,,MLB.com GIBBY
leylaji99,TSN Manager of the Year,1988,NL,,
leylaji99,TSN Manager of the Year,1990,NL,,
leylaji99,TSN Manager of the Year,1992,NL,,
leylaji99,TSN Manager of the Year,2006,AL,,
maddojo99,TSN Manager of the Year,2008,AL,,
maddojo99,TSN Manager of the Year,2011,AL,,
mcnamjo99,TSN Manager of the Year,1986,AL,,
keanejo99,TSN Manager of the Year,1964,ML,,
seleaa01,TSN Rookie Pitcher of the Year,1993,AL,,
collite99,TSN Manager of the Year,2015,NL,,
pujolal01,Player of the Week,2001,NL,Y,Week of 2001-09-22
pujolal01,MLB Players Choice Outstanding Rookie,2001,NL,,
pujolal01,Rookie of the Month,2001,NL,,April
pujolal01,Rookie of the Month,2001,NL,,May
pujolal01,TSN Rookie Player of the Year,2001,NL,,
pearsal02,TSN Rookie of the Year,1958,AL,,non-Pitcher
manoaal01,Rookie of the Month,2021,AL,,September
coleal01,Player of the Week,1990,AL,Y,Week of 1990-08-04
merrija01,MLB Players Choice Outstanding Rookie,2024,NL,,
merrija01,Rookie of the Month,2024,NL,,June
merrija01,Rookie of the Month,2024,NL,,August
merrija01,TSN Rookie of the Year,2024,NL,,
merrija01,TSN All-Star,2024,NL,,OF
degroja01,Player of the Week,2014,NL,Y,Week of 2014-07-27
degroja01,MLB Players Choice Outstanding Rookie,2014,NL,,
degroja01,Rookie of the Month,2014,NL,,July
degroja01,Rookie of the Month,2014,NL,,September
degroja01,TSN Rookie of the Year,2014,NL,,
ellsbja01,Rookie of the Month,2007,AL,,September
croneja01,MLB Players Choice Outstanding Rookie,2020,NL,,
croneja01,Rookie of the Month,2020,NL,,July/August
croneja01,TSN Rookie of the Year,2020,NL,,
heywaja01,Rookie of the Month,2010,NL,,April
heywaja01,Rookie of the Month,2010,NL,,May
heywaja01,TSN Rookie of the Year,2010,NL,,
kendaja01,TSN Rookie Player of the Year,1996,NL,,
simonja01,Rookie of the Month,2002,NL,,June
bagweje01,TSN Rookie Player of the Year,1991,NL,,
damicje02,Pitcher of the Month,2000,NL,,July
weeksje01,Rookie of the Month,2011,AL,Y,June
waltoje01,TSN Rookie Player of the Year,1989,NL,,
bulliji01,Player of the Week,1992,NL,,Week of 1992-06-13
gilliji01,TSN Rookie of the Year,1953,NL,,
nashji01,TSN Rookie Pitcher of the Year,1966,AL,,
andujjo01,Player of the Week,1976,NL,,Week of 1976-06-04
gerutjo01,TSN Rookie Player of the Year,2003,AL,,
blackjo02,TSN Rookie of the Year,1952,NL,,
charbjo01,Player of the Week,1980,AL,,Week of 1980-08-29
charbjo01,Player of the Week,1980,AL,Y,Week of 1980-07-25
charbjo01,TSN Rookie Player of the Year,1980,AL,,
panikjo01,This Year in Baseball Postseason Moment of the Year,2014,ML,,MLB.com GIBBY
zumayjo01,This Year in Baseball Setup Man of the Year,2006,ML,,MLB.com GIBBY
krukjo01,Player of the Week,1986,NL,Y,Week of 1986-08-15
indiajo01,MLB Players Choice Outstanding Rookie,2021,NL,,
indiajo01,Rookie of the Month,2021,NL,,July
indiajo01,TSN Rookie of the Year,2021,NL,,
abreujo02,This Year in Baseball Rookie of the Year,2014,ML,,MLB.com GIBBY
abreujo02,MLB Players Choice Outstanding Rookie,2014,AL,,
abreujo02,TSN Rookie of the Year,2014,AL,,
abreujo02,Player of the Month,2014,AL,,July
abreujo02,Player of the Month,2014,AL,,April
abreujo02,Player of the Week,2014,AL,Y,Week of 2014-04-27
abreujo02,Rookie of the Month,2014,AL,,April
abreujo02,Rookie of the Month,2014,AL,,June
abreujo02,Rookie of the Month,2014,AL,,July
cansejo01,Player of the Week,1985,AL,,Week of 1985-09-27
deleojo01,Player of the Week,1983,NL,,Week of 1983-07-29
fernajo02,This Year in Baseball Rookie of the Year,2013,ML,,MLB.com GIBBY
fernajo02,MLB Players Choice Outstanding Rookie,2013,NL,,
fernajo02,TSN Rookie of the Year,2013,NL,,
fernajo02,Player of the Week,2013,NL,Y,Week of 2013-08-25
dyered01,TSN Manager of the Year,1946,ML,,
ryanno01,Player of the Week,1990,AL,Y,Week of 1990-08-04
ryanno01,Player of the Week,1990,AL,,Week of 1990-06-16
virdobi01,TSN Manager of the Year,1980,ML,,
coxbo01,TSN Manager of the Year,1993,NL,,
baylodo01,TSN Manager of the Year,1995,NL,,
manueje01,TSN Manager of the Year,2000,AL,,
ryanno01,Player of the Week,1991,AL,,Week of 1991-05-04
larusto01,TSN Manager of the Year,1988,AL,,
rodgebu01,TSN Manager of the Year,1987,NL,,
hodgegi01,TSN Manager of the Year,1969,ML,,
torboje01,TSN Manager of the Year,1990,AL,,
farrejo03,This Year in Baseball Manager of the Year,2013,ML,,MLB.com GIBBY
farrejo03,TSN Manager of the Year,2013,AL,,
oatesjo01,TSN Manager of the Year,1996,AL,,
durocle01,TSN Manager of the Year,1951,ML,,
herzowh01,TSN Manager of the Year,1982,ML,,
willima04,TSN Manager of the Year,2014,NL,,
bambege01,TSN Manager of the Year,1978,ML,,
alstowa01,TSN Manager of the Year,1963,ML,,
southbi01,TSN Manager of the Year,1941,ML,,
harribu01,TSN Manager of the Year,1947,ML,,
counscr01,TSN Manager of the Year,2023,NL,Y,
andersp01,TSN Manager of the Year,1987,AL,,
southbi01,TSN Manager of the Year,1942,ML,,
foxch01,TSN Manager of the Year,1971,ML,,
murtada01,TSN Manager of the Year,1970,ML,,
bakerdu01,TSN Manager of the Year,1997,NL,,
mauchge01,TSN Manager of the Year,1973,ML,,
tracyji01,This Year in Baseball Manager of the Year,2009,ML,,MLB.com GIBBY
tracyji01,TSN Manager of the Year,2009,NL,,
durocle01,TSN Manager of the Year,1954,ML,,
sciosmi01,TSN Manager of the Year,2009,AL,,
gardero01,TSN Manager of the Year,2010,AL,,
larusto01,TSN Manager of the Year,1992,AL,,
hoffmtr01,Bob Feller Act of Valor Award - HOF Player,2022,ML,,
mckecbi01,TSN Manager of the Year,1937,ML,,
martibi02,TSN Manager of the Year,1981,ML,,
coxbo01,TSN Manager of the Year,1999,NL,,
bowala01,TSN Manager of the Year,2001,NL,,
johnsra05,Bob Feller Act of Valor Award - HOF Player,2019,ML,,
bochybr01,This Year in Baseball Manager of the Year,2010,ML,,MLB.com GIBBY
johnsda02,TSN Manager of the Year,1997,AL,,
bakerdu01,TSN Manager of the Year,2000,NL,,
gibsoki01,This Year in Baseball Manager of the Year,2011,ML,,MLB.com GIBBY
gibsoki01,TSN Manager of the Year,2011,NL,,
mckecbi01,TSN Manager of the Year,1940,ML,,
melvibo01,TSN Manager of the Year,2018,AL,,
robinfr02,TSN Manager of the Year,1989,AL,,
williji03,TSN Manager of the Year,1999,AL,,
matthga01,Player of the Week,2006,AL,,Week of 2006-09-16
coxbo01,TSN Manager of the Year,2002,NL,,
sciosmi01,TSN Manager of the Year,2014,AL,,
meyerbi01,TSN Manager of the Year,1948,ML,,
coxbo01,TSN Manager of the Year,2003,NL,,
zimmedo01,TSN Manager of the Year,1989,NL,,
bakerdu01,This Year in Baseball Manager of the Year,2003,ML,,MLB.com GIBBY
francte01,TSN Manager of the Year,2016,AL,,
coxbo01,TSN Manager of the Year,2004,NL,,
