ID,playerID,yearID,stint,teamID,team_ID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
107196,stameer01,2019,1,CLE,2903,AL,15,NULL,41,4,2,1,0,0,2,0,0,5,24,0,0,1,1,2
107197,stammcr01,2019,1,SDN,2918,NL,76,NULL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107198,stanery01,2019,1,TBA,2922,AL,41,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107199,stanery01,2019,2,MIA,2910,NL,22,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107200,stantmi03,2019,1,NYA,2913,AL,18,NULL,59,8,17,3,0,3,13,0,0,12,24,0,0,0,1,1
107201,starlbu01,2019,1,KCA,2907,AL,56,NULL,186,26,40,7,0,4,12,2,0,9,56,0,1,1,0,4
107202,stashco01,2019,1,MIN,2912,AL,18,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107203,stassma01,2019,1,HOU,2906,AL,31,NULL,90,4,15,1,0,1,3,0,0,7,34,0,1,0,0,1
107204,stassma01,2019,2,LAA,2908,AL,20,NULL,42,3,3,0,0,0,2,0,0,5,15,0,0,0,2,2
107205,staumjo01,2019,1,KCA,2907,AL,16,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107206,steckdr01,2019,1,MIA,2910,NL,15,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107207,stephro01,2019,1,CIN,2902,NL,57,NULL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107208,stevean01,2019,1,WAS,2925,NL,30,NULL,30,4,11,1,1,0,0,0,1,6,11,0,1,0,0,1
107209,stewabr01,2019,1,LAN,2909,NL,3,NULL,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
107210,stewabr01,2019,2,TOR,2924,AL,10,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107211,stewach02,2019,1,DET,2905,AL,104,NULL,369,32,86,25,1,10,40,0,1,34,103,3,7,0,6,4
107212,stewadj01,2019,1,BAL,2898,AL,44,NULL,126,15,30,6,0,4,15,1,2,14,26,1,1,0,1,3
107213,stewako01,2019,1,MIN,2912,AL,9,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107214,stjohlo01,2019,1,TEX,2923,AL,7,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107215,stockro01,2019,1,SDN,2918,NL,10,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107216,storytr01,2019,1,COL,2904,NL,145,NULL,588,111,173,38,5,35,85,23,8,58,174,0,7,0,3,3
107217,strahma01,2019,1,SDN,2918,NL,47,NULL,21,1,6,2,0,0,1,0,0,2,12,0,0,4,0,0
107218,straida01,2019,1,BAL,2898,AL,14,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107219,strasst01,2019,1,WAS,2925,NL,34,NULL,72,4,12,1,0,1,10,0,0,3,25,0,0,5,0,0
107220,stratch01,2019,1,LAA,2908,AL,7,NULL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107221,stratch01,2019,2,PIT,2917,NL,28,NULL,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
107222,strawmy01,2019,1,HOU,2906,AL,56,NULL,108,27,29,4,2,0,7,8,1,19,24,0,0,1,0,2
107223,strichu01,2019,1,SEA,2919,AL,4,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107224,strichu01,2019,2,WAS,2925,NL,24,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107225,stripro01,2019,1,LAN,2909,NL,32,NULL,20,1,3,0,0,0,1,0,0,2,7,0,0,2,0,1
107226,stromma01,2019,1,TOR,2924,AL,21,NULL,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
107227,stromma01,2019,2,NYN,2914,NL,11,NULL,21,2,1,0,0,0,0,0,0,0,11,0,0,2,0,1
107228,stroppe01,2019,1,CHN,2901,NL,50,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107229,stubbga01,2019,1,HOU,2906,AL,19,NULL,35,8,7,3,0,0,2,1,0,4,7,0,0,0,0,1
107230,stumpda01,2019,1,DET,2905,AL,48,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107231,suarean01,2019,1,SFN,2920,NL,21,NULL,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107232,suareeu01,2019,1,CIN,2902,NL,159,NULL,575,87,156,22,2,49,103,3,2,70,189,4,11,0,6,12
107233,suarejo01,2019,1,LAA,2908,AL,19,NULL,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107234,suarera01,2019,1,PHI,2916,NL,37,NULL,4,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0
107235,sucreje01,2019,1,BAL,2898,AL,21,NULL,62,3,13,2,0,0,3,0,0,4,13,0,1,0,0,1
107236,suerowa01,2019,1,WAS,2925,NL,78,NULL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107237,sulseco01,2019,1,TBA,2922,AL,7,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107238,suterbr01,2019,1,MIL,2911,NL,9,NULL,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107239,suzukic01,2019,1,SEA,2919,AL,2,NULL,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
107240,suzukku01,2019,1,WAS,2925,NL,85,NULL,280,37,74,11,0,17,63,0,1,20,36,1,6,0,3,10
107241,swansda01,2019,1,ATL,2897,NL,127,NULL,483,77,121,26,3,17,65,10,5,51,124,2,5,1,5,7
107242,swanser01,2019,1,SEA,2919,AL,27,NULL,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107243,swarzan01,2019,1,SEA,2919,AL,15,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107244,swarzan01,2019,2,ATL,2897,NL,44,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107245,swihabl01,2019,1,BOS,2899,AL,12,NULL,26,4,6,1,0,1,4,0,0,2,7,0,1,0,0,0
107246,swihabl01,2019,2,ARI,2896,NL,31,NULL,66,9,9,0,0,3,9,0,0,4,29,0,0,0,0,2
107247,syndeno01,2019,1,NYN,2914,NL,32,NULL,65,6,6,1,0,2,2,0,0,3,47,0,0,1,0,1
107248,taillja01,2019,1,PIT,2917,NL,7,NULL,8,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0
107249,tanakma01,2019,1,NYA,2913,AL,32,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107250,tapiara01,2019,1,COL,2904,NL,138,NULL,426,54,117,23,5,9,44,9,3,21,100,0,0,0,0,2
107251,tarplst01,2019,1,NYA,2913,AL,21,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107252,tatedi01,2019,1,BAL,2898,AL,16,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107253,tatisfe02,2019,1,SDN,2918,NL,84,NULL,334,61,106,13,6,22,53,16,6,30,110,1,5,0,3,4
107254,tauchmi01,2019,1,NYA,2913,AL,87,NULL,260,46,72,18,1,13,47,6,0,34,71,0,1,0,1,9
107255,taylobe04,2019,1,OAK,2915,AL,9,NULL,22,3,4,0,0,2,2,0,0,4,6,0,1,0,0,0
107256,taylobe04,2019,2,TOR,2924,AL,1,NULL,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107257,taylobe04,2019,3,OAK,2915,AL,1,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107258,tayloch03,2019,1,LAN,2909,NL,124,NULL,366,52,96,29,4,12,52,8,0,37,115,3,4,2,5,6
107259,taylojo02,2019,1,BOS,2899,AL,52,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107260,taylomi02,2019,1,WAS,2925,NL,53,NULL,88,10,22,7,0,1,3,6,0,7,34,0,0,2,0,0
107261,tayloty01,2019,1,MIL,2911,NL,15,NULL,10,1,4,2,0,0,1,0,0,1,1,0,1,0,0,0
107262,teherju01,2019,1,ATL,2897,NL,35,NULL,55,1,6,1,0,0,4,0,0,0,24,0,0,4,1,0
107263,tejadru01,2019,1,NYN,2914,NL,6,NULL,9,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
107264,tellero01,2019,1,TOR,2924,AL,111,NULL,370,49,84,19,0,21,54,1,1,29,116,3,7,0,3,9
107265,teperry01,2019,1,TOR,2924,AL,23,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107266,thaisma01,2019,1,LAA,2908,AL,53,NULL,147,17,31,7,0,8,23,0,0,17,52,0,0,0,0,4
107267,thameer01,2019,1,MIL,2911,NL,149,NULL,396,67,98,23,2,25,61,3,2,51,140,4,10,0,2,0
107268,thomala02,2019,1,SLN,2921,NL,34,NULL,38,6,12,0,1,4,12,1,1,4,8,0,2,0,0,1
107269,thorntr01,2019,1,TOR,2924,AL,32,NULL,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
107270,thornty01,2019,1,BOS,2899,AL,16,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107271,thorple01,2019,1,MIN,2912,AL,12,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107272,tilsoch01,2019,1,CHA,2900,AL,54,NULL,144,16,33,5,0,1,12,4,0,10,38,1,3,0,0,1
107273,tinocje01,2019,1,COL,2904,NL,24,NULL,5,1,1,0,0,0,0,0,0,0,4,0,0,1,0,0
107274,tomasya01,2019,1,ARI,2896,NL,4,NULL,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
107275,tomlijo01,2019,1,ATL,2897,NL,51,NULL,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
107276,toroab01,2019,1,HOU,2906,AL,25,NULL,78,13,17,3,2,2,9,1,1,9,19,0,1,0,1,2
107277,torreca01,2019,1,DET,2905,AL,4,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107278,torregl01,2019,1,NYA,2913,AL,144,NULL,546,96,152,26,0,38,90,5,2,48,129,3,3,1,6,10
107279,torrelu01,2019,1,SDN,2918,NL,7,NULL,14,2,3,1,0,0,0,0,0,2,6,0,0,0,0,1
107280,torrero01,2019,1,MIN,2912,AL,7,NULL,16,3,3,0,0,0,1,1,0,0,3,0,1,0,0,0
107281,toussto01,2019,1,ATL,2897,NL,24,NULL,9,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
107282,tovarwi01,2019,1,LAA,2908,AL,31,NULL,83,5,16,5,0,0,5,0,0,5,15,0,0,0,0,0
107283,travisa01,2019,1,BOS,2899,AL,59,NULL,144,17,31,4,1,6,16,2,0,11,36,2,1,0,1,6
107284,treinbl01,2019,1,OAK,2915,AL,57,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107285,trevijo01,2019,1,TEX,2923,AL,40,NULL,120,18,31,9,0,2,13,0,0,3,27,0,0,1,2,6
107286,trivilo01,2019,1,OAK,2915,AL,61,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107287,tropeni01,2019,1,LAA,2908,AL,3,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107288,troutmi01,2019,1,LAA,2908,AL,134,NULL,470,110,137,27,2,45,104,11,2,110,120,14,16,0,4,5
107289,trumbma01,2019,1,BAL,2898,AL,12,NULL,29,1,5,3,0,0,3,0,0,2,5,0,0,0,0,2
107290,tuckeco01,2019,1,PIT,2917,NL,56,NULL,147,16,31,10,3,2,13,0,0,10,40,1,1,1,0,2
107291,tuckeky01,2019,1,HOU,2906,AL,22,NULL,67,15,18,6,0,4,11,5,0,4,20,1,1,0,0,1
107292,tuivasa01,2019,1,SEA,2919,AL,23,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107293,tulowtr01,2019,1,NYA,2913,AL,5,NULL,11,1,2,1,0,1,1,0,0,2,4,0,0,0,0,1
107294,turnbsp01,2019,1,DET,2905,AL,30,NULL,8,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0
107295,turneju01,2019,1,LAN,2909,NL,135,NULL,479,80,139,24,0,27,67,2,0,51,88,1,14,0,5,11
107296,turnetr01,2019,1,WAS,2925,NL,122,NULL,521,96,155,37,5,19,57,35,5,43,113,2,3,0,2,10
107297,underdu01,2019,1,CHN,2901,NL,12,NULL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107298,uptonju01,2019,1,LAA,2908,AL,63,NULL,219,34,47,8,0,12,40,1,1,32,78,0,0,0,5,5
107299,urenajo01,2019,1,MIA,2910,NL,25,NULL,19,1,0,0,0,0,0,0,0,1,14,0,0,2,0,1
107300,urenari01,2019,1,TOR,2924,AL,30,NULL,74,4,18,6,0,0,4,0,0,2,23,0,1,3,0,0
107301,uriasju01,2019,1,LAN,2909,NL,37,NULL,12,0,3,0,0,0,2,0,0,1,4,0,0,5,0,0
107302,uriaslu01,2019,1,SDN,2918,NL,71,NULL,215,27,48,8,1,4,24,0,1,25,56,0,9,0,0,8
107303,urquijo01,2019,1,HOU,2906,AL,9,NULL,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
107304,urshegi01,2019,1,NYA,2913,AL,132,NULL,442,73,139,34,0,21,74,1,1,25,87,1,5,0,4,13
107305,valaipa01,2019,1,COL,2904,NL,40,NULL,79,11,15,5,1,1,4,0,0,7,34,0,0,0,0,1
